zuj,orp,cnt,x,y,name
568201,4214,650,981319.1659076924,765787.0881846152,Řehlovice
585866,7211,452,1158489.7681637164,507603.6962168137,Trnava
549240,3108,4610,1126596.330765731,774267.9846724507,Písek
594423,6220,104,1177930.637307692,635751.2401923077,Medlice
550663,3109,721,1149360.9094868235,792116.562413315,Vlachovo Březí
595683,6101,40,1123721.4487500002,624403.84425,Horní Rožínka
557722,3210,179,1093250.990782123,824929.8822346372,Horšice
569828,5212,89,1041907.1185393264,658499.1446067416,Babice
530786,5209,99,1024592.2789898991,625694.8938383841,Říkov
580121,5313,925,1071559.5908324316,596828.5338918914,Dolní Dobrouč
548243,6111,108,1101939.1111111108,687933.3744444445,Horní Paseka
584720,6221,479,1181301.818601252,596681.0600208767,Nosislav
547981,5306,161,1080242.5916149064,586842.5556521738,Albrechtice
537179,2118,759,1039902.2369301706,706315.8333728585,Hradištko
536784,3111,91,1134428.631978022,794574.8700000003,Strunkovice nad Volyňkou
577499,5104,441,1000174.1261904759,659802.5669614513,Roztoky u Jilemnice
567507,4213,2313,972133.2976480774,777768.749252054,Dubí
554171,8115,651,1124952.9156682033,493032.93164362555,Šenov u Nového Jičína
575313,5311,235,1064726.299914894,663526.3057021272,Lipoltice
589934,7108,609,1123362.879622331,568963.9144170774,Přemyslovice
553921,3202,67,1103591.2192537314,847711.1399999999,Mezholezy
509141,3114,170,1183634.1097647056,727019.4722941178,Dvory nad Lužnicí
584941,6204,777,1211629.9311840415,575244.674774775,Tvrdonice
513393,2106,194,1050701.9365979384,710883.7914432986,Přistoupim
594776,6220,123,1175328.9206504063,642943.3323577233,Slatina
579726,5214,165,1008674.0962424235,625106.8165454544,Suchovršice
584401,6207,219,1184967.9668493154,587312.6268493155,Diváky
574929,5303,332,1057488.0783132538,636455.7138855425,Dolní Ředice
565784,2115,165,1022834.4141818187,698107.6970909091,Charvatce
576662,5202,234,1035352.2717094023,621291.9932905986,Pohoří
578045,4106,219,1000662.7154794522,838274.1237899542,Krásný Les
598399,8106,682,1115807.469604106,459784.5480058652,Lučina
588270,6112,42,1150408.911428572,677661.7523809525,Žatec
565326,2121,41,1031743.3451219512,803102.1553658537,Švihov
536687,7106,241,1094416.6946473024,561206.1293360995,Klopina
568414,6102,5549,1107043.160158593,667334.0910650596,Havlíčkův Brod
552542,8106,444,1122021.402454955,457586.5039189189,Dobratice
544345,5105,241,981313.1570954361,692423.8675933604,Proseč pod Ještědem
551015,3117,165,1137438.6114545444,780919.906242424,Drahonice
583758,6221,1170,1172488.2818547012,599874.0222136752,Rajhrad
576191,5208,417,1059741.4491846524,620944.1082014394,Čermná nad Orlicí
580783,5314,40,1063159.0209999997,618417.04975,Plchovice
587419,6112,48,1156039.6214583332,684185.0279166667,Kostelní Myslová
507547,8110,449,1131488.0212249449,442181.26534521184,Milíkov
578428,5307,275,1083766.870218182,616388.6144727276,Morašice
552194,7105,79,1110558.2053164556,566898.1487341771,Slavětín
598330,2120,48,1095183.266458333,778691.2370833332,Tušovice
564354,5109,277,995155.094945848,688756.9078339352,Příšovice
533629,2110,423,1050369.5727186745,701175.8226004726,Radim
575941,5303,207,1059522.4869082123,626788.2884541063,Veliny
572977,5309,115,1065398.5096521738,651640.3013043476,Dubany
561690,3117,24,1146955.5116666665,783661.0441666668,Hájek
536067,2115,251,1025713.4505577686,714698.5565737048,Kochánky
571679,2122,81,1065188.3845679013,713588.4685185185,Oplany
529770,2125,58,1091956.7996551727,707710.8305172414,Chlum
581224,5314,291,1069231.6015807565,623394.0989347079,Zámrsk
584479,6211,283,1196323.095477032,600617.0304240286,Horní Věstonice
583111,6209,417,1149502.3332853725,608040.0043645081,Chudčice
591661,6208,243,1165363.2569547328,625469.7185596706,Senorady
576654,5202,220,1039564.6960454541,613080.125,Podbřezí
599182,3202,87,1094241.5689655177,865621.7387356325,Pařezov
571482,5304,74,1070486.1606756754,663131.2674324323,Hošťalovice
513571,2120,78,1080782.4130769232,774078.9267948715,Občov
570842,2115,104,1013386.219423077,706430.9024999999,Vinec
563994,5102,211,955373.7863507112,678028.6796208534,Dolní Řasnice
574431,5211,101,1030973.6334653465,623708.4839603961,Slavětín nad Metují
599921,8101,1784,1113400.841149105,487662.8703251124,Studénka
556998,7104,299,1129679.8108695657,520521.060869565,Jezernice
534676,2114,4146,1013570.7739242614,734243.6984684038,Mělník
569623,6111,239,1098991.1831799159,683949.9969037661,Trpišovice
585050,6204,549,1197615.9585610202,590402.6196721311,Zaječí
579076,5203,86,1021517.20744186,645517.759767442,Bílé Poličany
595217,6114,75,1139944.6764000005,643494.6910666667,Baliny
576727,5213,203,1057300.9682265995,604544.6701970443,Rybná nad Zdobnicí
566624,4207,1708,1006180.6215339553,790094.5243969559,Postoloprty
538833,2122,887,1062308.593111612,735248.4925479149,Sulice
541451,2120,92,1089349.598586956,782262.2545652178,Třebsko
572004,5304,119,1086874.3815126051,628471.1434453785,Perálec
568287,4214,64,982182.7053125002,754730.5414062497,Tašov
566071,3212,72,1081774.7148611112,848759.2140277778,Všekary
574830,5309,141,1052537.3029078017,656811.5997872343,Bukovka
559709,3208,217,1058599.386313363,825537.5494470046,Žilov
566691,3210,50,1095358.0316000003,827666.9760000001,Vlčí
576271,5202,1521,1035933.5229454318,616552.6783629188,Dobruška
574899,5309,727,1062908.1277028883,638181.2707152676,Dašice
594709,6220,252,1189570.7039682546,632173.664722222,Prosiměřice
