age,sex,key
42,1,7175470
38,0,7175470
19,1,7175470
3,1,7175470
36,0,7175947
88,0,7175947
69,1,7178022
75,0,7178022
77,1,7178023
83,0,7178023
67,1,7180007
74,1,7180008
43,0,7180008
75,0,7180008
4,1,7180009
29,1,7180009
38,0,7180010
32,1,7180010
8,1,7180010
2,0,7180010
37,1,7180011
7,0,7180011
79,1,7180011
25,0,7180012
48,0,7180012
71,1,7180012
83,1,7180968
64,1,7180969
35,0,7180969
9,1,7180970
34,1,7180970
37,0,7180970
8,0,7180970
46,1,7180971
57,0,7182034
80,1,7182034
50,0,7182035
26,0,7182035
47,1,7182035
41,0,7182036
53,0,7182266
21,1,7182266
23,0,7182266
67,1,7182267
76,0,7182268
70,1,7182268
18,0,7182269
44,0,7182269
17,0,7182269
39,1,7182269
12,1,7182269
27,0,7182869
28,1,7182869
26,0,7182870
65,0,7182870
59,1,7182871
58,0,7182871
38,0,7182872
27,1,7182872
5,1,7182872
26,1,7182873
27,0,7182873
1,0,7182874
35,1,7182874
14,1,7182874
31,0,7182874
68,1,7182875
40,0,7182875
57,1,7182876
22,1,7182876
58,0,7182877
57,1,7182877
71,1,7182878
68,1,7182879
65,1,7182880
66,0,7182880
59,1,7182881
60,0,7182881
77,1,7182882
32,0,7182883
24,0,7182884
21,1,7182884
59,0,7182885
59,1,7182885
8,1,7182886
41,0,7182886
34,1,7182886
6,1,7182886
31,0,7182887
38,0,7182888
25,1,7182888
67,0,7182889
67,1,7182889
67,1,7182890
71,0,7182890
56,1,7183326
38,0,7183743
36,1,7183743
9,0,7183743
13,1,7183743
66,1,7183852
62,0,7184412
59,1,7184412
48,1,7185166
50,0,7185166
18,1,7185166
21,1,7185166
55,1,7185167
25,1,7185167
33,0,7185167
58,1,7185168
49,0,7185168
31,0,7185168
86,1,7185168
54,1,7185169
25,0,7185169
35,0,7185787
54,1,7185787
78,1,7185788
46,0,7185989
46,1,7185989
60,1,7185990
66,0,7185990
57,0,7185992
55,1,7185992
28,1,7185992
53,1,7186034
23,0,7186034
51,0,7186034
77,0,7186372
67,0,7186373
65,1,7186373
44,0,7186374
42,1,7186374
19,0,7186374
63,1,7186375
67,0,7186375
69,0,7186376
61,0,7186377
18,0,7186377
41,1,7186377
12,1,7186377
60,0,7186378
60,1,7186378
55,1,7186379
19,0,7186379
34,1,7186379
45,0,7186380
56,1,7186380
20,1,7186380
61,1,7186381
59,0,7186382
57,1,7186382
60,0,7186383
27,0,7186383
63,0,7186384
64,1,7186384
59,1,7186385
0,1,7186385
29,1,7186385
6,1,7186385
58,0,7186385
37,0,7186385
61,0,7186386
58,1,7186386
64,0,7186387
65,1,7186387
31,0,7186388
62,1,7186389
20,0,7186390
46,1,7186390
22,0,7186390
35,0,7186391
47,1,7186392
66,0,7186393
61,1,7186393
34,0,7186394
75,0,7186395
70,1,7186395
39,1,7186396
14,0,7186396
16,1,7186396
68,1,7186397
63,0,7186397
44,0,7186398
65,1,7186398
40,0,7186399
15,0,7186399
38,1,7186399
9,0,7186399
9,0,7186400
12,0,7186400
42,1,7186400
68,0,7186401
63,1,7186401
29,1,7186402
55,1,7186403
59,0,7186403
84,1,7186404
26,1,7186405
55,0,7186406
87,1,7186407
39,1,7186408
40,0,7186408
15,0,7186408
14,0,7186408
66,1,7186409
64,0,7186409
22,0,7186409
62,0,7186410
31,1,7186410
63,1,7186410
31,0,7186411
31,0,7186411
34,0,7186411
36,1,7186412
58,1,7186413
34,0,7186413
27,1,7186414
28,0,7186414
25,1,7186414
52,0,7186415
54,1,7186416
60,0,7186416
19,1,7186416
59,0,7186417
58,1,7186417
57,1,7186418
61,0,7186418
37,0,7186418
28,0,7186419
51,1,7186419
54,1,7186420
55,0,7186420
59,1,7186421
62,0,7186422
62,0,7186423
60,1,7186423
32,0,7186423
65,0,7186424
64,1,7186425
66,0,7186425
61,1,7186426
56,1,7186427
57,1,7186428
24,0,7186428
56,1,7186429
59,0,7186429
58,0,7186904
50,1,7186904
24,0,7186904
19,0,7186905
39,1,7186905
40,0,7186905
12,1,7186905
0,0,7186906
27,1,7186906
31,0,7186906
64,1,7186907
77,0,7186908
73,1,7186908
14,1,7188110
7,0,7188110
40,0,7188110
38,1,7188110
59,0,7188111
48,1,7188112
52,0,7188112
25,1,7188112
1,0,7188113
29,0,7188113
24,1,7188113
73,0,7188736
70,1,7188736
40,0,7188736
34,0,7188737
5,1,7188737
4,0,7188737
31,1,7188737
49,1,7188738
12,0,7188738
55,0,7188738
70,1,7188739
49,0,7188987
27,1,7188988
50,0,7189728
42,1,7189728
22,1,7189728
23,1,7189728
62,0,7190756
26,0,7190757
70,1,7190827
61,0,7190827
69,1,7190828
69,0,7190828
33,1,7190829
56,1,7190829
62,0,7190829
35,0,7190829
56,0,7191128
55,1,7191128
79,1,7191769
48,0,7191769
58,0,7191770
62,1,7191770
57,0,7191771
60,0,7191771
48,0,7191772
76,0,7191772
62,0,7191973
62,1,7191973
39,0,7191974
9,0,7191974
34,1,7191974
53,1,7192502
54,0,7192502
