,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
151,2020-07-30,11.0,48.0,0.0,4.753271560721245,20.741548628601798,0.0
152,2020-07-31,11.0,48.0,0.0,4.753271560721245,20.741548628601798,0.0
153,2020-08-01,10.0,49.0,0.0,4.321155964292041,21.173664225031,0.0
154,2020-08-02,10.0,49.0,0.0,4.321155964292041,21.173664225031,0.0
155,2020-08-03,6.0,53.0,0.0,2.5926935785752248,22.902126610747818,0.0
156,2020-08-04,5.0,54.0,0.0,2.1605779821460205,23.334242207177024,0.0
157,2020-08-05,4.0,55.0,0.0,1.7284623857168164,23.766357803606226,0.0
158,2020-08-06,4.0,55.0,0.0,1.7284623857168164,23.766357803606226,0.0
159,2020-08-07,4.0,55.0,0.0,1.7284623857168164,23.766357803606226,0.0
160,2020-08-08,4.0,55.0,0.0,1.7284623857168164,23.766357803606226,0.0
161,2020-08-09,4.0,55.0,0.0,1.7284623857168164,23.766357803606226,0.0
162,2020-08-10,4.0,55.0,0.0,1.7284623857168164,23.766357803606226,0.0
163,2020-08-11,4.0,55.0,0.0,1.7284623857168164,23.766357803606226,0.0
164,2020-08-12,5.0,55.0,0.0,2.1605779821460205,23.766357803606226,0.0
165,2020-08-13,4.0,57.0,0.0,1.7284623857168164,24.630588996464635,0.0
166,2020-08-14,4.0,57.0,0.0,1.7284623857168164,24.630588996464635,0.0
167,2020-08-15,4.0,57.0,0.0,1.7284623857168164,24.630588996464635,0.0
168,2020-08-16,4.0,57.0,0.0,1.7284623857168164,24.630588996464635,0.0
169,2020-08-17,4.0,57.0,0.0,1.7284623857168164,24.630588996464635,0.0
170,2020-08-18,4.0,57.0,0.0,1.7284623857168164,24.630588996464635,0.0
171,2020-08-19,4.0,57.0,0.0,1.7284623857168164,24.630588996464635,0.0
172,2020-08-20,4.0,57.0,0.0,1.7284623857168164,24.630588996464635,0.0
173,2020-08-21,6.0,57.0,0.0,2.5926935785752248,24.630588996464635,0.0
174,2020-08-22,9.0,57.0,0.0,3.8890403678628367,24.630588996464635,0.0
175,2020-08-23,9.0,57.0,0.0,3.8890403678628367,24.630588996464635,0.0
176,2020-08-24,9.0,57.0,0.0,3.8890403678628367,24.630588996464635,0.0
177,2020-08-25,9.0,58.0,0.0,3.8890403678628367,25.06270459289384,0.0
178,2020-08-26,8.0,60.0,0.0,3.456924771433633,25.926935785752246,0.0
179,2020-08-27,9.0,60.0,0.0,3.8890403678628367,25.926935785752246,0.0
180,2020-08-28,10.0,60.0,0.0,4.321155964292041,25.926935785752246,0.0
181,2020-08-29,24.0,60.0,0.0,10.370774314300899,25.926935785752246,0.0
182,2020-08-30,25.0,60.0,0.0,10.802889910730103,25.926935785752246,0.0
183,2020-08-31,25.0,60.0,0.0,10.802889910730103,25.926935785752246,0.0
184,2020-09-01,27.0,60.0,0.0,11.667121103588512,25.926935785752246,0.0
185,2020-09-02,31.0,61.0,0.0,13.395583489305327,26.359051382181452,0.0
186,2020-09-03,43.0,62.0,0.0,18.58097064645578,26.791166978610654,0.0
187,2020-09-04,40.0,66.0,0.0,17.284623857168164,28.51962936432747,0.0
188,2020-09-05,40.0,66.0,0.0,17.284623857168164,28.51962936432747,0.0
189,2020-09-06,45.0,66.0,0.0,19.445201839314187,28.51962936432747,0.0
190,2020-09-07,45.0,66.0,0.0,19.445201839314187,28.51962936432747,0.0
191,2020-09-08,48.0,66.0,0.0,20.741548628601798,28.51962936432747,0.0
192,2020-09-09,48.0,68.0,0.0,20.741548628601798,29.38386055718588,0.0
193,2020-09-10,52.0,72.0,0.0,22.470011014318615,31.112322942902694,0.0
194,2020-09-11,36.0,95.0,0.0,15.556161471451347,41.05098166077439,0.0
195,2020-09-12,37.0,95.0,0.0,15.988277067880553,41.05098166077439,0.0
196,2020-09-13,38.0,96.0,0.0,16.42039266430976,41.483097257203596,0.0
197,2020-09-14,75.0,97.0,0.0,32.408669732190305,41.9152128536328,0.0
198,2020-09-15,82.0,107.0,0.0,35.43347890719474,46.23636881792484,0.0
199,2020-09-16,90.0,109.0,0.0,38.890403678628374,47.10060001078325,0.0
200,2020-09-17,137.0,109.0,0.0,59.19983671080096,47.10060001078325,0.0
201,2020-09-18,154.0,111.0,0.0,66.54580185009743,47.96483120364166,0.0
202,2020-09-19,159.0,117.0,0.0,68.70637983224346,50.55752478221688,0.0
203,2020-09-20,171.0,121.0,0.0,73.8917669893939,52.2859871679337,0.0
204,2020-09-21,166.0,149.0,1.0,71.73118900724789,64.38522386795141,0.4321155964292041
205,2020-09-22,190.0,150.0,1.0,82.10196332154878,64.81733946438061,0.4321155964292041
206,2020-09-23,220.0,154.0,2.0,95.0654312144249,66.54580185009743,0.8642311928584082
207,2020-09-24,226.0,164.0,2.0,97.65812479300013,70.86695781438948,0.8642311928584082
208,2020-09-25,238.0,202.0,2.0,102.84351195015057,87.28735047869922,0.8642311928584082
209,2020-09-26,229.0,224.0,2.0,98.95447158228774,96.79389360014171,0.8642311928584082
210,2020-09-27,206.0,255.0,2.0,89.01581286441605,110.18947708944705,0.8642311928584082
211,2020-09-28,174.0,289.0,2.0,75.18811377868151,124.88140736804,0.8642311928584082
212,2020-09-29,178.0,296.0,2.0,76.91657616439834,127.90621654304442,0.8642311928584082
213,2020-09-30,188.0,297.0,2.0,81.23773212869037,128.33833213947364,0.8642311928584082
214,2020-10-01,179.0,327.0,4.0,77.34869176082755,141.30180003234975,1.7284623857168164
215,2020-10-02,188.0,358.0,6.0,81.23773212869037,154.6973835216551,2.5926935785752248
216,2020-10-03,196.0,388.0,6.0,84.694656900124,167.6608514145312,2.5926935785752248
217,2020-10-04,178.0,417.0,6.0,76.91657616439834,180.1922037109781,2.5926935785752248
218,2020-10-05,150.0,448.0,6.0,64.81733946438061,193.58778720028343,2.5926935785752248
219,2020-10-06,184.0,450.0,7.0,79.50926974297356,194.45201839314186,3.0248091750044286
220,2020-10-07,214.0,454.0,9.0,92.47273763584968,196.18048077885865,3.8890403678628367
221,2020-10-08,237.0,457.0,10.0,102.41139635372137,197.4768275681463,4.321155964292041
222,2020-10-09,284.0,471.0,10.0,122.72082938589398,203.52644591815513,4.321155964292041
223,2020-10-10,300.0,495.0,11.0,129.63467892876122,213.89722023245602,4.753271560721245
224,2020-10-11,265.0,533.0,12.0,114.51063305373908,230.3176128967658,5.1853871571504495
225,2020-10-12,241.0,576.0,14.0,104.13985873943818,248.89858354322155,6.049618350008857
226,2020-10-13,279.0,578.0,14.0,120.56025140374794,249.76281473608,6.049618350008857
227,2020-10-14,382.0,580.0,15.0,165.068157835956,250.6270459289384,6.4817339464380614
228,2020-10-15,430.0,616.0,17.0,185.80970646455776,266.18320740038973,7.34596513929647
229,2020-10-16,469.0,653.0,18.0,202.6622147252967,282.17148446827025,7.778080735725673
230,2020-10-17,481.0,674.0,18.0,207.84760188244718,291.2459119932835,7.778080735725673
231,2020-10-18,518.0,689.0,21.0,223.83587895032773,297.72764593972164,9.074427525013286
232,2020-10-19,489.0,744.0,26.0,211.3045266538808,321.4940037433279,11.235005507159308
233,2020-10-20,572.0,775.0,26.0,247.17012115750475,334.8895872326332,11.235005507159308
234,2020-10-21,691.0,786.0,27.0,298.59187713258,339.64285879335443,11.667121103588512
235,2020-10-22,803.0,817.0,28.0,346.9888239326509,353.03844228265973,12.099236700017714
236,2020-10-23,882.0,836.0,28.0,381.125956050558,361.24863861481464,12.099236700017714
237,2020-10-24,882.0,919.0,29.0,381.125956050558,397.1142331184386,12.53135229644692
238,2020-10-25,859.0,994.0,29.0,371.18729733268634,429.5229028506289,12.53135229644692
239,2020-10-26,847.0,1115.0,31.0,366.00191017553584,481.8088900185626,13.395583489305327
240,2020-10-27,1017.0,1165.0,33.0,439.46156156850054,503.41466984002284,14.259814682163736
241,2020-10-28,1057.0,1171.0,35.0,456.7461854256688,506.007363418598,15.124045875022142
242,2020-10-29,1134.0,1285.0,38.0,490.01908635071743,555.2685414115273,16.42039266430976
243,2020-10-30,1173.0,1390.0,40.0,506.87159461145643,600.6406790365937,17.284623857168164
