id,x,y,town,type,data
414,1008664.79,788705.95,Postoloprty,apartment,{}
415,1008768.91,788719.01,Postoloprty,apartment,{}
416,1008753.91,788692.18,Postoloprty,apartment,{}
417,1008847.38,788900.15,Postoloprty,apartment,{}
418,1008757.43,788804.55,Postoloprty,apartment,{}
419,1008517.7,788641.19,Postoloprty,apartment,{}
420,1008713.15,788644.36,Postoloprty,apartment,{}
421,1008752.38,788949.77,Postoloprty,apartment,{}
422,1008705.38,788625.65,Postoloprty,apartment,{}
423,1008700.79,788838.83,Postoloprty,apartment,{}
424,1008548.32,788658.83,Postoloprty,apartment,{}
425,1008782.58,788778.29,Postoloprty,apartment,{}
426,1008766.9,788944.65,Postoloprty,apartment,{}
427,1008782.59,788952.96,Postoloprty,apartment,{}
428,1008797.97,788937.76,Postoloprty,apartment,{}
429,1008331.45,788595.73,Postoloprty,apartment,{}
430,1008581.67,788799.66,Postoloprty,apartment,{}
431,1008484.01,788666.0,Postoloprty,apartment,{}
432,1008400.73,788327.77,Postoloprty,apartment,{}
433,1008774.91,788661.12,Postoloprty,apartment,{}
434,1008614.55,788701.35,Postoloprty,apartment,{}
435,1007935.58,790150.21,Postoloprty,apartment,{}
436,1008007.84,790154.67,Postoloprty,apartment,{}
437,1008007.84,790154.67,Postoloprty,apartment,{}
438,1008066.29,790136.6,Postoloprty,apartment,{}
439,1008082.71,790112.61,Postoloprty,apartment,{}
440,1008111.37,790102.45,Postoloprty,apartment,{}
441,1008139.72,790091.2,Postoloprty,apartment,{}
442,1008173.76,790080.72,Postoloprty,apartment,{}
443,1008222.51,790116.0,Postoloprty,apartment,{}
444,1008173.74,790141.16,Postoloprty,apartment,{}
445,1008127.85,790172.24,Postoloprty,apartment,{}
446,1008099.2,790187.49,Postoloprty,apartment,{}
447,1008071.16,790196.42,Postoloprty,apartment,{}
448,1008034.95,790209.21,Postoloprty,apartment,{}
449,1007923.47,790230.55,Postoloprty,apartment,{}
450,1007853.01,790262.52,Postoloprty,apartment,{}
451,1007835.14,790276.38,Postoloprty,apartment,{}
452,1007900.01,790266.21,Postoloprty,apartment,{}
453,1008197.71,790088.44,Postoloprty,apartment,{}
454,1007874.42,790217.69,Postoloprty,apartment,{}
455,1008189.46,790126.61,Postoloprty,apartment,{}
456,1007914.17,790230.16,Postoloprty,apartment,{}
457,1008045.74,790191.03,Postoloprty,apartment,{}
458,1008045.74,790191.03,Postoloprty,apartment,{}
459,1008181.47,790018.94,Postoloprty,apartment,{}
460,1008158.67,790029.27,Postoloprty,apartment,{}
461,1007917.1,790247.57,Postoloprty,apartment,{}
462,1008145.38,790037.59,Postoloprty,apartment,{}
463,1007893.88,790118.78,Postoloprty,apartment,{}
464,1007881.35,790064.39,Postoloprty,apartment,{}
465,1007892.29,790095.67,Postoloprty,apartment,{}
466,1007886.44,790079.65,Postoloprty,apartment,{}
467,1008219.37,790059.31,Postoloprty,apartment,{}
468,1008219.37,790059.31,Postoloprty,apartment,{}
469,1008238.16,790045.44,Postoloprty,apartment,{}
470,1008251.26,790034.97,Postoloprty,apartment,{}
471,1008262.5,790030.65,Postoloprty,apartment,{}
472,1008275.45,790024.34,Postoloprty,apartment,{}
473,1008287.92,790019.25,Postoloprty,apartment,{}
474,1008297.17,790014.17,Postoloprty,apartment,{}
475,1008172.84,790104.45,Postoloprty,apartment,{}
476,1008032.06,790149.67,Postoloprty,apartment,{}
477,1007871.49,790029.73,Postoloprty,apartment,{}
478,1007872.57,790044.21,Postoloprty,apartment,{}
479,1007896.79,790205.93,Postoloprty,apartment,{}
480,1007904.94,790184.19,Postoloprty,apartment,{}
481,1007852.85,789936.98,Postoloprty,apartment,{}
482,1008370.68,789944.05,Postoloprty,apartment,{}
483,1008407.58,789928.78,Postoloprty,apartment,{}
484,1007854.63,789919.31,Postoloprty,apartment,{}
485,1007846.52,789898.48,Postoloprty,apartment,{}
486,1007909.09,790004.0,Postoloprty,apartment,{}
487,1007907.98,789992.52,Postoloprty,apartment,{}
488,1007900.46,789944.07,Postoloprty,apartment,{}
489,1007856.7,789952.85,Postoloprty,apartment,{}
490,1008314.12,790008.62,Postoloprty,apartment,{}
491,1007592.19,789688.34,Postoloprty,apartment,{}
492,1007863.03,789985.09,Postoloprty,apartment,{}
493,1007675.02,789759.66,Postoloprty,apartment,{}
494,1007943.13,790070.86,Postoloprty,apartment,{}
495,1007871.49,790012.94,Postoloprty,apartment,{}
496,1007870.88,790002.0,Postoloprty,apartment,{}
497,1007907.44,789979.27,Postoloprty,apartment,{}
498,1007894.76,789959.48,Postoloprty,apartment,{}
499,1008337.22,789970.72,Postoloprty,apartment,{}
500,1008400.32,790025.35,Postoloprty,apartment,{}
501,1008245.1,790119.24,Postoloprty,apartment,{}
502,1007970.86,790203.97,Postoloprty,apartment,{}
503,1008038.94,790127.12,Postoloprty,apartment,{}
504,1007870.61,789966.82,Postoloprty,apartment,{}
505,1007957.4,790222.68,Postoloprty,apartment,{}
506,1008159.81,794406.19,Postoloprty,apartment,{}
507,1008140.17,794405.22,Postoloprty,apartment,{}
508,1008050.3,794336.98,Postoloprty,apartment,{}
509,1008012.61,794269.98,Postoloprty,apartment,{}
510,1008029.59,794291.88,Postoloprty,apartment,{}
511,1008046.67,794298.8,Postoloprty,apartment,{}
512,1008046.67,794298.8,Postoloprty,apartment,{}
513,1008093.27,794275.99,Postoloprty,apartment,{}
514,1008117.94,794250.77,Postoloprty,apartment,{}
515,1008217.86,794281.02,Postoloprty,apartment,{}
516,1008232.87,794263.88,Postoloprty,apartment,{}
517,1008233.83,794275.99,Postoloprty,apartment,{}
518,1008195.5,794249.7,Postoloprty,apartment,{}
519,1008195.5,794249.7,Postoloprty,apartment,{}
520,1008195.5,794249.7,Postoloprty,apartment,{}
521,1008195.5,794249.7,Postoloprty,apartment,{}
522,1008252.04,794205.37,Postoloprty,apartment,{}
523,1008265.77,794248.51,Postoloprty,apartment,{}
524,1008276.31,794238.47,Postoloprty,apartment,{}
